filename,timestep,global_charge,absolute_charge,charge_ratio,max_local_density,structure_count
snap_0008_trial003_step_000400.npz,400,1.937082284703028,1156.9737814107273,597.276527667396,0.49801955526707625,22794
snap_0008_trial003_step_000600.npz,600,1.7013917347806629,1157.2202585372054,680.1609730437705,0.4996718530667018,22695
snap_0008_trial003_step_000800.npz,800,0.5596302855495762,1157.5427762212917,2068.40623897997,0.49800687368837954,22790
snap_0009_trial004_step_000000.npz,0,1.6664065076221304,1157.6056770995547,694.6718409403728,0.4989916646293634,22808
snap_0009_trial004_step_000200.npz,200,1.7681996890682958,1157.374831008536,654.549843837962,0.49793291479557816,22864
snap_0009_trial004_step_000400.npz,400,1.937082284703028,1156.9737814107273,597.276527667396,0.49801955526707625,22794
snap_0009_trial004_step_000600.npz,600,1.7013917347806629,1157.2202585372054,680.1609730437705,0.4996718530667018,22695
snap_0009_trial004_step_000800.npz,800,0.5596302855495762,1157.5427762212917,2068.40623897997,0.49800687368837954,22790
snap_0010_trial000_step_000000.npz,0,1.6664114450336271,1157.605671132763,694.6697791161255,0.49899204298991634,22808
snap_0010_trial000_step_000200.npz,200,1.8975375692039669,1157.022415927299,609.749411076446,0.4996539165022734,22785
snap_0010_trial000_step_000400.npz,400,-0.4445083125060146,1157.4847929995876,2603.966580219935,0.49889104553658775,22723
snap_0010_trial000_step_000600.npz,600,-7.703190696807145,1158.772576370282,150.42761134034342,0.49934726811846236,22723
snap_0010_trial000_step_000800.npz,800,-19.82650792640181,1161.7341441293934,58.594995567715905,0.49851784132476173,22707
snap_0011_trial001_step_000000.npz,0,1.6664114450336271,1157.605671132763,694.6697791161255,0.49899204298991634,22808
snap_0011_trial001_step_000200.npz,200,1.8975375692039669,1157.022415927299,609.749411076446,0.4996539165022734,22785
snap_0011_trial001_step_000400.npz,400,-0.4445083125060146,1157.4847929995876,2603.966580219935,0.49889104553658775,22723
snap_0011_trial001_step_000600.npz,600,-7.703190696807145,1158.772576370282,150.42761134034342,0.49934726811846236,22723
snap_0011_trial001_step_000800.npz,800,-19.82650792640181,1161.7341441293934,58.594995567715905,0.49851784132476173,22707
snap_0012_trial002_step_000000.npz,0,1.6664114450336271,1157.605671132763,694.6697791161255,0.49899204298991634,22808
snap_0012_trial002_step_000200.npz,200,1.8975375692039669,1157.022415927299,609.749411076446,0.4996539165022734,22785
snap_0012_trial002_step_000400.npz,400,-0.4445083125060146,1157.4847929995876,2603.966580219935,0.49889104553658775,22723
snap_0012_trial002_step_000600.npz,600,-7.703190696807145,1158.772576370282,150.42761134034342,0.49934726811846236,22723
snap_0012_trial002_step_000800.npz,800,-19.82650792640181,1161.7341441293934,58.594995567715905,0.49851784132476173,22707
snap_0013_trial003_step_000000.npz,0,1.6664114450336271,1157.605671132763,694.6697791161255,0.49899204298991634,22808
snap_0013_trial003_step_000200.npz,200,1.8975375692039669,1157.022415927299,609.749411076446,0.4996539165022734,22785
snap_0013_trial003_step_000400.npz,400,-0.4445083125060146,1157.4847929995876,2603.966580219935,0.49889104553658775,22723
snap_0013_trial003_step_000600.npz,600,-7.703190696807145,1158.772576370282,150.42761134034342,0.49934726811846236,22723
snap_0013_trial003_step_000800.npz,800,-19.82650792640181,1161.7341441293934,58.594995567715905,0.49851784132476173,22707
